name,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,century,half_century,ducks,country
N Davin,2023-2024,9.0,9,0,178,90,19.77,181,98.34,0,1,1,NAM
CT Mutombodzi,2013-2020,14.0,13,1,177,34,14.75,234,75.64,0,0,0,ZIM
TC Bastiampillai,2007-2014,13.0,13,0,175,49,13.46,301,58.13,0,0,2,CAN
HR Walsh,2019-2024,23.0,13,3,175,46,17.5,247,70.85,0,0,0,WI
A Saud,2022-2023,9.0,9,0,174,51,19.33,348,50.0,0,1,2,NEP
SB Doull,1992-2000,42.0,27,13,172,22,12.28,188,91.48,0,0,2,NZ
Hasibul Hossain,1995-2004,32.0,26,6,172,21,8.6,247,69.63,0,0,3,BAN
RP Lefebvre,1996-2003,11.0,11,5,171,45,28.5,280,61.07,0,0,0,NED
PS de Villiers,1992-1997,83.0,36,15,170,20,8.09,218,77.98,0,0,7,SA
SW Masakadza,2010-2014,16.0,11,3,170,45,21.25,177,96.04,0,0,1,ZIM
TSS Mackintosh,2023-2023,10.0,9,1,169,38,21.12,201,84.07,0,0,0,SCOT
J Smits,2003-2009,38.0,19,9,169,29,16.9,360,46.94,0,0,2,NED
RA Jones,2003-2003,5.0,5,0,168,63,33.6,329,51.06,0,1,0,NZ
R Ngarava,2017-2024,44.0,27,12,168,35,11.2,206,81.55,0,0,5,ZIM
CPH Ramanayake,1990-1995,48.0,27,10,168,26,9.88,318,52.83,0,0,5,SL
AR Whittall,1996-2000,63.0,35,13,168,29,7.63,310,54.19,0,0,6,ZIM
JE Morris,1990-1991,8.0,8,1,167,63,23.85,225,74.22,0,1,0,ENG
RE van der Merwe,2009-2024,27.0,17,3,167,57,11.92,187,89.3,0,1,3,SA
A McGrath,2003-2004,14.0,12,2,166,52,16.6,353,47.02,0,1,1,ENG
DES Maxwell,2006-2007,10.0,10,4,166,59,27.66,238,69.74,0,1,1,CAN
Khurram Chohan,2009-2014,25.0,19,6,165,35,12.69,285,57.89,0,0,2,CAN
JF Kloppenburg,2002-2003,6.0,6,0,165,121,27.5,265,62.26,1,0,1,NED
MJ Lumb,2014-2014,3.0,3,0,165,106,55.0,203,81.28,1,0,0,ENG
Nurul Hasan,2016-2023,7.0,5,3,165,45,82.5,174,94.82,0,0,0,BAN
D Bishoo,2011-2019,42.0,25,10,164,29,10.93,263,62.35,0,0,8,WI
KP Meiyappan,2019-2023,31.0,22,4,163,24,9.05,333,48.94,0,0,6,UAE
RR Powar,2004-2007,31.0,19,5,163,54,11.64,260,62.69,0,1,0,IND
Shan Masood,2019-2023,9.0,9,0,163,50,18.11,234,69.65,0,1,2,PAK
JC Tredwell,2010-2015,45.0,25,11,163,30,11.64,242,67.35,0,0,3,ENG
ST Doheny,2023-2023,9.0,7,0,162,84,23.14,255,63.52,0,1,0,IRE
MV Nagamootoo,2000-2002,24.0,18,6,162,33,13.5,270,60.0,0,0,1,WI
JTC Vaughan,1992-1996,18.0,16,7,162,33,18.0,261,62.06,0,0,0,NZ
CD Cumming,2003-2009,13.0,13,1,161,45,13.41,301,53.48,0,0,3,NZ
SKL de Silva,1997-1997,11.0,6,3,161,57,53.66,193,83.41,0,2,0,SL
SC Joseph,2000-2005,13.0,11,1,161,58,16.1,302,53.31,0,1,2,WI
E Schiferli,2002-2013,30.0,22,6,161,41,10.06,218,73.85,0,0,4,NED
HMCM Bandara,2006-2010,31.0,17,4,160,31,12.3,224,71.42,0,0,3,SL
PE Cantrell,1996-1996,5.0,5,0,160,47,32.0,307,52.11,0,0,0,NED
JL Langer,1994-1997,8.0,7,2,160,36,32.0,180,88.88,0,0,0,AUS
Mustafizur Rahman,2015-2024,104.0,51,30,160,20,7.61,309,51.77,0,0,9,BAN
K Weeraratne,2000-2008,15.0,9,1,160,41,20.0,177,90.39,0,0,0,SL
Akshay Homraj,2019-2020,8.0,8,0,159,44,19.87,223,71.3,0,0,0,USA
J Kila,2018-2022,13.0,13,3,159,36,15.9,244,65.16,0,0,2,PNG
Saleem Raza,1994-1996,6.0,6,0,159,84,26.5,173,91.9,0,1,0,UAE
AC Bedade,1994-1994,13.0,10,3,158,51,22.57,183,86.33,0,1,0,IND
JJ Martin,1999-2001,10.0,8,1,158,39,22.57,331,47.73,0,0,1,IND
Imran Tahir,2011-2019,107.0,36,16,157,29,7.85,225,69.77,0,0,6,SA
T Kaitano,2022-2024,11.0,11,1,157,42,15.7,256,61.32,0,0,2,ZIM
